,0
0_-3,-45.3232342466162
0_-2,-45.3232342466162
0_-1,-45.3232342466162
0_0,-45.3232342466162
0_1,-45.3232342466162
0_2,-45.3232342466162
0_3,-45.3232342466162
0_4,-45.3232342466162
0_5,-45.3232342466162
0_6,-45.3232342466162
0_7,-45.3232342466162
0_8,-45.3232342466162
0_9,-45.3232342466162
0_10,-45.3232342466162
0_11,-45.3232342466162
0_12,-45.3232342466162
0_13,-45.3232342466162
0_14,-45.3232342466162
0_15,-45.3232342466162
0_16,-45.3232342466162
0_17,-45.3232342466162
0_18,-45.3232342466162
0_19,-45.3232342466162
0_20,-45.3232342466162
0_21,-45.3232342466162
0_22,-45.3232342466162
0_23,-45.3232342466162
0_24,-45.3232342466162
0_25,-45.3232342466162
0_26,-45.3232342466162
0_27,-45.3232342466162
0_28,-45.3232342466162
0_29,-45.3232342466162
0_30,-45.3232342466162
0_31,-45.3232342466162
0_32,-45.3232342466162
0_33,-45.3232342466162
0_34,-45.3232342466162
0_35,-45.3232342466162
0_36,-45.3232342466162
0_37,-45.3232342466162
0_38,-45.3232342466162
0_39,-45.3232342466162
0_40,-45.3232342466162
0_41,-45.3232342466162
0_42,-45.3232342466162
0_43,-45.3232342466162
0_44,-45.3232342466162
0_45,-45.3232342466162
0_46,-45.3232342466162
0_47,-45.3232342466162
0_48,-45.3232342466162
0_49,-45.3232342466162
0_50,-45.3232342466162
0_51,-45.3232342466162
0_52,-45.3232342466162
0_53,-45.3232342466162
0_54,-45.3232342466162
0_55,-45.3232342466162
0_56,-45.3232342466162
0_57,-45.3232342466162
0_58,-45.3232342466162
0_59,-45.3232342466162
0_60,-45.3232342466162
0_61,-45.3232342466162
0_62,-45.3232342466162
0_63,-45.3232342466162
0_64,-45.3232342466162
0_65,-45.3232342466162
0_66,-45.3232342466162
0_67,-45.3232342466162
0_68,-45.3232342466162
0_69,-45.3232342466162
0_70,-45.3232342466162
0_71,-45.3232342466162
0_72,-45.3232342466162
0_73,-45.3232342466162
0_74,-45.3232342466162
0_75,-45.3232342466162
0_76,-45.3232342466162
0_77,-45.3232342466162
0_78,-45.3232342466162
0_79,-45.3232342466162
0_80,-45.3232342466162
1_-80,-43.987532114653646
1_-79,-43.987532114653646
1_-78,-43.987532114653646
1_-77,-43.987532114653646
1_-76,-43.987532114653646
1_-75,-43.987532114653646
1_-74,-43.987532114653646
1_-73,-43.987532114653646
1_-72,-43.987532114653646
1_-71,-43.987532114653646
1_-70,-43.987532114653646
1_-69,-43.987532114653646
1_-68,-43.987532114653646
1_-67,-43.987532114653646
1_-66,-43.987532114653646
1_-65,-43.987532114653646
1_-64,-43.987532114653646
1_-63,-43.987532114653646
1_-62,-43.987532114653646
1_-61,-43.987532114653646
1_-60,-43.987532114653646
1_-59,-43.987532114653646
1_-58,-43.987532114653646
1_-57,-43.987532114653646
1_-56,-43.987532114653646
1_-55,-43.987532114653646
1_-54,-43.987532114653646
1_-53,-43.987532114653646
1_-52,-43.987532114653646
1_-51,-43.987532114653646
1_-50,-43.987532114653646
1_-49,-43.987532114653646
1_-48,-43.987532114653646
1_-47,-43.987532114653646
1_-46,-43.987532114653646
1_-45,-43.987532114653646
1_-44,-43.987532114653646
1_-43,-43.987532114653646
1_-42,-43.987532114653646
1_-41,-43.987532114653646
1_-40,-43.987532114653646
1_-39,-43.987532114653646
1_-38,-43.987532114653646
1_-37,-43.987532114653646
1_-36,-43.987532114653646
1_-35,-43.987532114653646
1_-34,-43.987532114653646
1_-33,-43.987532114653646
1_-32,-43.987532114653646
1_-31,-43.987532114653646
1_-30,-43.987532114653646
1_-29,-43.987532114653646
1_-28,-43.987532114653646
1_-27,-43.987532114653646
1_-26,-43.987532114653646
1_-25,-43.987532114653646
1_-24,-43.987532114653646
1_-23,-43.987532114653646
1_-22,-43.987532114653646
1_-21,-43.987532114653646
1_-20,-43.987532114653646
1_-19,-43.987532114653646
1_-18,-43.987532114653646
1_-17,-43.987532114653646
1_-16,-43.987532114653646
1_-15,-43.987532114653646
1_-14,-43.987532114653646
1_-13,-43.987532114653646
1_-12,-43.987532114653646
1_-11,-43.987532114653646
1_-10,-43.987532114653646
1_-9,-43.987532114653646
1_-8,-43.987532114653646
1_-7,-43.987532114653646
1_-6,-43.987532114653646
1_-5,-43.987532114653646
1_-4,-43.987532114653646
1_-3,-43.987532114653646
1_-2,-43.987532114653646
1_-1,-43.987532114653646
1_0,-43.987532114653646
1_1,-43.987532114653646
1_2,-43.987532114653646
1_3,-43.987532114653646
1_4,-43.987532114653646
1_5,-43.987532114653646
1_6,-43.987532114653646
1_7,-43.987532114653646
1_8,-43.987532114653646
1_9,-43.987532114653646
1_10,-43.987532114653646
1_11,-43.987532114653646
1_12,-43.987532114653646
1_13,-43.987532114653646
1_14,-43.987532114653646
1_15,-43.987532114653646
1_16,-43.987532114653646
1_17,-43.987532114653646
1_18,-43.987532114653646
1_19,-43.987532114653646
1_20,-43.987532114653646
1_21,-43.987532114653646
1_22,-43.987532114653646
1_23,-43.987532114653646
1_24,-43.987532114653646
1_25,-43.987532114653646
1_26,-43.987532114653646
1_27,-43.987532114653646
1_28,-43.987532114653646
1_29,-43.987532114653646
1_30,-43.987532114653646
1_31,-43.987532114653646
1_32,-43.987532114653646
1_33,-43.987532114653646
1_34,-43.987532114653646
1_35,-43.987532114653646
1_36,-43.987532114653646
1_37,-43.987532114653646
1_38,-43.987532114653646
1_39,-43.987532114653646
1_40,-43.987532114653646
1_41,-43.987532114653646
1_42,-43.987532114653646
1_43,-43.987532114653646
1_44,-43.987532114653646
1_45,-43.987532114653646
1_46,-43.987532114653646
1_47,-43.987532114653646
1_48,-43.987532114653646
1_49,-43.987532114653646
1_50,-43.987532114653646
1_51,-43.987532114653646
1_52,-43.987532114653646
1_53,-43.987532114653646
1_54,-43.987532114653646
1_55,-43.987532114653646
1_56,-43.987532114653646
1_57,-43.987532114653646
1_58,-43.987532114653646
1_59,-43.987532114653646
1_60,-43.987532114653646
1_61,-43.987532114653646
1_62,-43.987532114653646
1_63,-43.987532114653646
1_64,-43.987532114653646
1_65,-43.987532114653646
1_66,-43.987532114653646
1_67,-43.987532114653646
1_68,-43.987532114653646
1_69,-43.987532114653646
1_70,-43.987532114653646
1_71,-43.987532114653646
1_72,-43.987532114653646
1_73,-43.987532114653646
1_74,-43.987532114653646
1_75,-43.987532114653646
1_76,-43.987532114653646
1_77,-43.987532114653646
1_78,-43.987532114653646
1_79,-43.987532114653646
1_80,-43.987532114653646
2_-80,-42.6518299826911
2_-79,-42.6518299826911
2_-78,-42.6518299826911
2_-77,-42.6518299826911
2_-76,-42.6518299826911
2_-75,-42.6518299826911
2_-74,-42.6518299826911
2_-73,-42.6518299826911
2_-72,-42.6518299826911
2_-71,-42.6518299826911
2_-70,-42.6518299826911
2_-69,-42.6518299826911
2_-68,-42.6518299826911
2_-67,-42.6518299826911
2_-66,-42.6518299826911
2_-65,-42.6518299826911
2_-64,-42.6518299826911
2_-63,-42.6518299826911
2_-62,-42.6518299826911
2_-61,-42.6518299826911
2_-60,-42.6518299826911
2_-59,-42.6518299826911
2_-58,-42.6518299826911
2_-57,-42.6518299826911
2_-56,-42.6518299826911
2_-55,-42.6518299826911
2_-54,-42.6518299826911
2_-53,-42.6518299826911
2_-52,-42.6518299826911
2_-51,-42.6518299826911
2_-50,-42.6518299826911
2_-49,-42.6518299826911
2_-48,-42.6518299826911
2_-47,-42.6518299826911
2_-46,-42.6518299826911
2_-45,-42.6518299826911
