,0
1_-27,-42.92703054912016
1_-26,-43.13300902611159
1_-25,-43.338987503103
1_-24,-43.544965980094425
1_-23,-43.75094445708584
1_-22,-43.95692293407726
1_-21,-44.16290141106868
1_-20,-44.3688798880601
1_-19,-44.30832025710043
1_-18,-44.24776062614076
1_-17,-44.187200995181094
1_-16,-44.12664136422142
1_-15,-44.066081733261754
1_-14,-44.00552210230209
1_-13,-43.944962471342414
1_-12,-43.88440284038274
1_-11,-43.823843209423075
1_-10,-43.7632835784634
1_-9,-43.78570843208243
1_-8,-43.80813328570145
1_-7,-43.83055813932048
1_-6,-43.85298299293951
1_-5,-43.87540784655853
1_-4,-43.89783270017755
1_-3,-43.92025755379658
1_-2,-43.9426824074156
1_-1,-43.965107261034625
1_0,-43.987532114653646
1_1,-43.99246532618239
1_2,-43.997398537711135
1_3,-44.00233174923988
1_4,-44.007264960768616
1_5,-44.01219817229735
1_6,-44.0171313838261
1_7,-44.022064595354834
1_8,-44.02699780688357
1_9,-44.03193101841231
1_10,-44.03686422994105
1_11,-43.64548625649514
1_12,-43.25410828304923
1_13,-42.862730309603315
1_14,-42.4713523361574
1_15,-42.079974362711475
1_16,-41.68859638926557
1_17,-41.29721841581965
1_18,-40.90584044237373
1_19,-40.51446246892782
1_20,-40.123084495481905
1_21,-40.41679905714521
1_22,-40.71051361880852
1_23,-41.004228180471834
1_24,-41.29794274213515
1_25,-41.59165730379845
1_26,-41.88537186546177
1_27,-42.17908642712507
1_28,-42.472800988788386
1_29,-42.76651555045169
1_30,-43.060230112115
1_31,-42.5810212076914
1_32,-42.101812303267785
1_33,-41.62260339884418
1_34,-41.14339449442056
1_35,-40.66418558999695
1_36,-40.184976685573346
1_37,-39.70576778114973
1_38,-39.226558876726116
1_39,-38.7473499723025
1_40,-38.2681410678789
1_41,-38.13685272265619
1_42,-38.00556437743348
1_43,-37.87427603221077
1_44,-37.74298768698806
1_45,-37.611699341765345
1_46,-37.480410996542645
1_47,-37.34912265131993
1_48,-37.21783430609722
1_49,-37.08654596087451
1_50,-36.9552576156518
1_51,-36.335643744071355
1_52,-35.716029872490914
1_53,-35.09641600091047
1_54,-34.47680212933002
1_55,-33.85718825774958
