,0
2_7,-46.634073866561245
2_8,-46.46901246244726
2_9,-46.30395105833328
2_10,-46.1388896542193
2_11,-45.56048801173413
2_12,-44.98208636924896
2_13,-44.40368472676379
2_14,-43.825283084278624
2_15,-43.24688144179345
2_16,-42.66847979930829
2_17,-42.09007815682311
2_18,-41.511676514337935
2_19,-40.93327487185277
2_20,-40.3548732293676
2_21,-40.31843390544953
2_22,-40.28199458153146
2_23,-40.24555525761339
2_24,-40.20911593369532
2_25,-40.17267660977725
2_26,-40.13623728585918
2_27,-40.099797961941114
2_28,-40.06335863802304
2_29,-40.02691931410497
2_30,-39.9904799901869
2_31,-38.946006075917644
2_32,-37.90153216164838
2_33,-36.85705824737912
2_34,-35.81258433310986
2_35,-34.7681104188406
2_36,-33.723636504571346
2_37,-32.679162590302084
2_38,-31.634688676032823
2_39,-30.590214761763562
2_40,-29.5457408474943
2_41,-28.867941779112602
2_42,-28.190142710730903
2_43,-27.512343642349204
2_44,-26.834544573967502
2_45,-26.1567455055858
2_46,-25.4789464372041
2_47,-24.801147368822402
2_48,-24.1233483004407
2_49,-23.445549232059
2_50,-22.7677501636773
2_51,-22.841070946838318
2_52,-22.91439172999934
2_53,-22.98771251316036
2_54,-23.061033296321384
2_55,-23.1343540794824
2_56,-23.207674862643422
2_57,-23.280995645804442
2_58,-23.35431642896546
2_59,-23.42763721212648
2_60,-23.5009579952875
2_61,-22.661836583537372
2_62,-21.822715171787237
2_63,-20.98359376003711
2_64,-20.144472348286982
2_65,-19.30535093653685
2_66,-18.46622952478672
2_67,-17.62710811303659
2_68,-16.78798670128646
2_69,-15.94886528953633
2_70,-15.1097438777862
2_71,-13.704012410667787
2_72,-12.298280943549372
2_73,-10.892549476430958
2_74,-9.486818009312545
2_75,-8.081086542194129
2_76,-6.675355075075716
2_77,-5.2696236079573024
2_78,-3.863892140838888
2_79,-2.458160673720474
2_80,-1.05242920660206
3_-80,-4.936174777234015
3_-79,-6.197195713128658
3_-78,-7.458216649023303
3_-77,-8.719237584917947
3_-76,-9.98025852081259
3_-75,-11.241279456707232
3_-74,-12.502300392601878
3_-73,-13.76332132849652
3_-72,-15.024342264391164
3_-71,-16.285363200285808
3_-70,-17.54638413618045
3_-69,-18.075283548431386
3_-68,-18.604182960682323
3_-67,-19.133082372933256
3_-66,-19.66198178518419
3_-65,-20.190881197435125
3_-64,-20.71978060968606
3_-63,-21.248680021936995
3_-62,-21.77757943418793
3_-61,-22.306478846438864
3_-60,-22.8353782586898
3_-59,-23.62578621048664
3_-58,-24.41619416228348
3_-57,-25.20660211408032
3_-56,-25.99701006587716
3_-55,-26.787418017674
3_-54,-27.577825969470844
3_-53,-28.36823392126768
3_-52,-29.158641873064518
3_-51,-29.949049824861362
3_-50,-30.7394577766582
3_-49,-30.612667991510964
3_-48,-30.485878206363722
3_-47,-30.359088421216484
3_-46,-30.232298636069242
3_-45,-30.105508850922
3_-44,-29.97871906577476
3_-43,-29.851929280627523
3_-42,-29.72513949548028
3_-41,-29.598349710333043
3_-40,-29.4715599251858
3_-39,-30.299548132918105
3_-38,-31.12753634065041
3_-37,-31.95552454838272
3_-36,-32.78351275611502
3_-35,-33.61150096384733
3_-34,-34.43948917157964
3_-33,-35.26747737931194
3_-32,-36.095465587044245
3_-31,-36.92345379477655
3_-30,-37.75144200250885
3_-29,-38.1386197958878
3_-28,-38.52579758926675
3_-27,-38.912975382645705
3_-26,-39.30015317602466
3_-25,-39.687330969403604
3_-24,-40.07450876278256
3_-23,-40.4616865561615
3_-22,-40.848864349540456
3_-21,-41.2360421429194
3_-20,-41.623219936298355
3_-19,-41.415091863596345
3_-18,-41.20696379089434
3_-17,-40.998835718192346
3_-16,-40.790707645490336
3_-15,-40.58257957278833
3_-14,-40.37445150008632
3_-13,-40.16632342738432
3_-12,-39.95819535468232
3_-11,-39.75006728198031
3_-10,-39.5419392092783
3_-9,-40.22377325771755
3_-8,-40.905607306156796
3_-7,-41.58744135459605
3_-6,-42.2692754030353
3_-5,-42.95110945147455
3_-4,-43.63294349991381
